date-time,temp,humid
2020-06-16-7,19.9,92.0
2020-06-16-8,21.1,91.0
2020-06-16-9,22.5,84.0
2020-06-16-10,24.0,67.0
2020-06-16-11,25.2,64.0
2020-06-16-12,26.7,55.0
2020-06-16-13,28.1,48.0
2020-06-16-14,28.0,52.0
2020-06-16-15,29.1,42.0
2020-06-16-16,29.5,41.0
2020-06-16-17,28.7,35.0
2020-06-16-18,28.4,37.0
2020-06-16-19,26.3,45.0
2020-06-16-20,25.1,52.0
2020-06-16-21,23.6,61.0
2020-06-16-22,23.1,65.0
2020-06-16-23,22.8,70.0
2020-06-17-0,22.2,77.0
2020-06-17-1,21.6,83.0
2020-06-17-2,21.2,85.0
2020-06-17-3,20.6,90.0
2020-06-17-4,20.6,87.0
2020-06-17-5,20.2,90.0
2020-06-17-6,20.1,92.0
2020-06-17-7,20.7,89.0
2020-06-17-8,22.3,72.0
2020-06-17-9,22.9,73.0
2020-06-17-10,23.3,68.0
2020-06-17-11,25.9,62.0
2020-06-17-12,26.6,55.0
2020-06-17-13,26.7,60.0
2020-06-17-14,25.5,61.0
2020-06-17-15,25.3,62.0
2020-06-17-16,25.5,69.0
2020-06-17-17,24.5,73.0
2020-06-17-18,23.2,79.0
2020-06-17-19,22.7,78.0
2020-06-17-20,22.0,82.0
2020-06-17-21,21.3,84.0
2020-06-17-22,19.5,94.0
2020-06-17-23,18.3,95.0
2020-06-18-0,17.5,96.0
2020-06-18-1,17.4,98.0
2020-06-18-2,18.0,99.0
2020-06-18-3,18.1,99.0
2020-06-18-4,18.4,99.0
2020-06-18-5,18.2,99.0
2020-06-18-6,18.3,99.0
2020-06-18-7,18.3,99.0
2020-06-18-8,17.9,98.0
2020-06-18-9,18.2,98.0
2020-06-18-10,18.6,98.0
2020-06-18-11,17.4,99.0
2020-06-18-12,17.2,99.0
2020-06-18-13,17.5,99.0
2020-06-18-14,18.2,99.0
2020-06-18-15,18.4,99.0
2020-06-18-16,18.7,99.0
2020-06-18-17,18.9,99.0
2020-06-18-18,18.9,99.0
2020-06-18-19,18.8,99.0
2020-06-18-20,18.7,99.0
2020-06-18-21,18.6,99.0
2020-06-18-22,18.6,99.0
2020-06-18-23,18.6,98.0
2020-06-19-0,18.3,97.0
2020-06-19-1,18.3,99.0
2020-06-19-2,17.9,99.0
2020-06-19-3,18.2,99.0
2020-06-19-4,17.9,99.0
2020-06-19-5,17.7,99.0
2020-06-19-6,17.5,99.0
2020-06-19-7,18.3,99.0
2020-06-19-8,19.3,96.0
2020-06-19-9,20.2,94.0
2020-06-19-10,21.4,84.0
2020-06-19-11,23.7,77.0
2020-06-19-12,25.2,64.0
2020-06-19-13,27.0,56.0
2020-06-19-14,26.2,59.0
2020-06-19-15,28.0,49.0
2020-06-19-16,29.0,50.0
2020-06-19-17,26.8,62.0
2020-06-19-18,25.8,67.0
2020-06-19-19,23.7,72.0
2020-06-19-20,22.8,74.0
2020-06-19-21,21.8,87.0
2020-06-19-22,21.7,90.0
2020-06-19-23,21.2,92.0
2020-06-20-0,20.6,95.0
2020-06-20-1,20.2,97.0
2020-06-20-2,20.0,98.0
2020-06-20-3,19.8,98.0
2020-06-20-4,19.7,97.0
2020-06-20-5,20.0,96.0
2020-06-20-6,20.1,96.0
2020-06-20-7,20.5,95.0
2020-06-20-8,20.7,94.0
2020-06-20-9,21.8,90.0
2020-06-20-10,23.3,84.0
2020-06-20-11,23.5,78.0
2020-06-20-12,24.4,74.0
2020-06-20-13,26.5,66.0
2020-06-20-14,25.9,66.0
2020-06-20-15,27.1,62.0
2020-06-20-16,26.9,59.0
2020-06-20-17,27.7,58.0
2020-06-20-18,26.7,63.0
2020-06-20-19,25.7,75.0
2020-06-20-20,24.1,82.0
2020-06-20-21,22.5,87.0
2020-06-20-22,22.1,86.0
2020-06-20-23,21.6,88.0
2020-06-21-0,20.9,90.0
2020-06-21-1,21.0,93.0
2020-06-21-2,21.2,92.0
2020-06-21-3,21.0,94.0
2020-06-21-4,20.4,95.0
2020-06-21-5,20.4,95.0
2020-06-21-6,20.2,97.0
2020-06-21-7,20.6,97.0
2020-06-21-8,22.3,87.0
2020-06-21-9,23.8,80.0
2020-06-21-10,25.7,70.0
2020-06-21-11,26.7,64.0
2020-06-21-12,27.8,59.0
2020-06-21-13,29.3,60.0
2020-06-21-14,28.9,56.0
2020-06-21-15,28.5,58.0
2020-06-21-16,30.0,58.0
2020-06-21-17,27.9,67.0
2020-06-21-18,26.3,75.0
2020-06-21-19,25.3,76.0
2020-06-21-20,24.6,82.0
2020-06-21-21,23.7,77.0
2020-06-21-22,22.8,77.0
2020-06-21-23,22.7,76.0
2020-06-22-0,22.0,78.0
2020-06-22-1,22.1,78.0
2020-06-22-2,21.6,83.0
2020-06-22-3,20.8,88.0
2020-06-22-4,20.2,94.0
2020-06-22-5,19.7,95.0
2020-06-22-6,19.7,96.0
2020-06-22-7,20.3,95.0
2020-06-22-8,21.6,90.0
2020-06-22-9,23.3,80.0
2020-06-22-10,25.2,72.0
2020-06-22-11,26.4,68.0
2020-06-22-12,27.9,68.0
2020-06-22-13,28.3,67.0
2020-06-22-14,28.9,66.0
2020-06-22-15,29.4,60.0
2020-06-22-16,29.8,59.0
2020-06-22-17,29.5,53.0
2020-06-22-18,29.0,54.0
2020-06-22-19,27.8,52.0
2020-06-22-20,26.0,54.0
2020-06-22-21,24.5,81.0
2020-06-22-22,23.1,89.0
2020-06-22-23,22.1,90.0
2020-06-23-0,21.7,90.0
2020-06-23-1,22.3,88.0
2020-06-23-2,21.3,94.0
2020-06-23-3,21.0,95.0
2020-06-23-4,20.1,97.0
2020-06-23-5,19.6,96.0
2020-06-23-6,19.7,98.0
2020-06-23-7,20.1,95.0
2020-06-23-8,21.9,93.0
2020-06-23-9,24.1,78.0
2020-06-23-10,25.7,73.0
2020-06-23-11,28.0,52.0
2020-06-23-12,29.3,47.0
2020-06-23-13,29.8,44.0
2020-06-23-14,30.8,36.0
2020-06-23-15,30.3,41.0
2020-06-23-16,29.3,47.0
2020-06-23-17,28.4,51.0
2020-06-23-18,27.4,57.0
2020-06-23-19,26.5,63.0
2020-06-23-20,26.2,52.0
2020-06-23-21,26.1,52.0
2020-06-23-22,26.2,50.0
2020-06-23-23,25.7,52.0
2020-06-24-0,25.4,53.0
2020-06-24-1,25.1,54.0
2020-06-24-2,25.0,54.0
2020-06-24-3,24.7,56.0
2020-06-24-4,24.3,60.0
2020-06-24-5,24.0,66.0
2020-06-24-6,23.0,79.0
2020-06-24-7,22.8,86.0
2020-06-24-8,23.1,85.0
2020-06-24-9,23.1,90.0
2020-06-24-10,23.6,88.0
2020-06-24-11,25.1,85.0
2020-06-24-12,22.9,95.0
2020-06-24-13,21.7,97.0
2020-06-24-14,21.9,97.0
2020-06-24-15,22.1,97.0
2020-06-24-16,22.3,97.0
2020-06-24-17,22.7,97.0
2020-06-24-18,22.6,97.0
2020-06-24-19,23.1,97.0
2020-06-24-20,23.3,97.0
2020-06-24-21,23.0,98.0
2020-06-24-22,23.2,99.0
2020-06-24-23,23.2,99.0
2020-06-25-0,23.2,99.0
2020-06-25-1,22.8,99.0
2020-06-25-2,22.5,99.0
2020-06-25-3,22.5,99.0
2020-06-25-4,22.4,99.0
2020-06-25-5,22.3,99.0
2020-06-25-6,22.2,98.0
2020-06-25-7,22.1,97.0
2020-06-25-8,22.7,97.0
2020-06-25-9,22.8,95.0
2020-06-25-10,22.7,95.0
2020-06-25-11,23.1,94.0
2020-06-25-12,23.2,94.0
2020-06-25-13,22.6,95.0
2020-06-25-14,22.6,96.0
2020-06-25-15,23.3,96.0
2020-06-25-16,23.6,91.0
2020-06-25-17,22.9,90.0
2020-06-25-18,22.1,87.0
2020-06-25-19,21.9,87.0
2020-06-25-20,21.5,91.0
2020-06-25-21,21.0,92.0
2020-06-25-22,20.9,93.0
2020-06-25-23,20.5,95.0
2020-06-26-0,20.6,95.0
2020-06-26-1,20.4,95.0
2020-06-26-2,20.3,96.0
2020-06-26-3,20.3,95.0
