date-time,day,active_power,active_energy
2020-06-16-11,1,3825.5,13.158
2020-06-16-12,1,3704.3,16.793
2020-06-16-13,1,4003.2,20.35
2020-06-16-14,1,3947.4,24.063
2020-06-16-16,1,4022.5,31.724
2020-06-16-17,1,3963.0,35.535
2020-06-16-18,1,3838.2,39.333
2020-06-16-19,1,3639.7,42.982
2020-06-16-20,1,3634.3,46.454
2020-06-16-21,1,3412.1,49.931
2020-06-16-22,1,3271.6,53.182
2020-06-16-23,1,3219.4,56.334
2020-06-17-0,1,3076.7,59.398
2020-06-17-1,1,2993.9,62.33
2020-06-17-2,1,2895.9,65.174
2020-06-17-3,1,2819.2,67.954
2020-06-17-4,1,2861.0,70.677
2020-06-17-5,1,2723.9,73.356
2020-06-17-6,1,2788.4,75.957
2020-06-17-7,1,2831.8,78.579
2020-06-17-8,1,3343.5,81.286
2020-06-17-9,1,3666.0,84.354
2020-06-17-10,1,3775.6,87.849
2020-06-17-11,1,3777.9,91.43
2020-06-17-12,1,3700.8,95.007
2020-06-17-13,1,3901.2,98.539
2020-06-17-14,1,3945.9,102.241
2020-06-17-15,1,3836.4,106.015
2020-06-17-17,1,3918.1,113.428
2020-06-17-18,1,3539.4,117.053
2020-06-17-19,1,3402.3,120.385
2020-06-17-20,1,3364.0,123.597
2020-06-17-21,1,3270.3,126.823
2020-06-17-22,1,3201.9,129.972
2020-06-17-23,1,3147.6,133.042
2020-06-18-0,1,2997.0,136.043
2020-06-18-1,1,2937.7,138.898
2020-06-18-2,1,2928.7,141.706
2020-06-18-3,1,2855.7,144.484
2020-06-18-4,1,2801.2,147.215
2020-06-18-5,1,2760.9,149.911
2020-06-18-6,1,2763.9,152.519
2020-06-18-7,1,2882.3,155.151
2020-06-18-8,1,3256.6,157.892
2020-06-18-9,1,3498.1,160.899
2020-06-18-10,1,3602.0,164.263
2020-06-18-11,1,3553.8,167.657
2020-06-18-12,1,3531.3,171.082
2020-06-18-13,1,3562.9,174.448
2020-06-18-14,1,3560.1,177.827
2020-06-18-15,1,3621.4,181.247
2020-06-18-16,1,3621.4,184.727
2020-06-19-19,1,3323.5,268.435
2020-06-19-20,1,3258.7,271.572
2020-06-19-21,1,3166.5,274.665
2020-06-19-22,1,3208.5,277.707
2020-06-19-23,1,3004.2,280.657
2020-06-20-0,0,2932.6,283.542
2020-06-20-1,0,2899.1,286.384
2020-06-20-2,0,2874.7,289.163
2020-06-20-3,0,2841.1,291.909
2020-06-20-4,0,2745.7,294.603
2020-06-20-5,0,2693.5,297.264
2020-06-20-6,0,2744.1,299.838
2020-06-20-7,0,2688.9,302.421
2020-06-20-8,0,2759.6,305.001
2020-06-20-9,0,2846.9,307.626
2020-06-20-10,0,2863.4,310.285
2020-06-20-11,0,2898.7,312.973
2020-06-20-12,0,2937.8,315.729
2020-06-20-13,0,2949.8,318.516
2020-06-20-14,0,3034.4,321.294
2020-06-20-15,0,3028.0,324.13
2020-06-20-16,0,3105.7,326.995
2020-06-20-17,0,3203.3,329.966
